created_at,status,player,normalized_player,history_matches,source_prediction_date,source_tournament,source_surface,source_confidence,reasons,notes
2026-06-26T20:30:04Z,needs_enrichment,C. Sauvant,c sauvant,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,C. Stelse,c stelse,0,2026-06-27,UTR PTT Waco Men 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,C. Swaine,c swaine,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,C. Underwood,c underwood,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Budko,d budko,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Duong,d duong,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Fishback,d fishback,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Hedgecoe,d hedgecoe,0,2026-06-27,UTR PTT Waco Men 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Knesl,d knesl,0,2026-06-27,UTR PTT Umag Men 02,Clay,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Kos,d kos,0,2026-06-27,UTR PTT Umag Men 02,Clay,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Krasner,d krasner,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Pop,d pop,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Shadchneva,d shadchneva,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
