date,tournament,tournament_level,surface,round,winner,loser,score,best_of,winner_rank,loser_rank,minutes,tour,aces,double_faults,first_serve_pct,first_serve_points_won,second_serve_points_won,break_points_saved,break_points_converted,total_points_won
20240101,United Cup,A,Hard,RR,Casper Ruud,Tallon Griekspoor,6-3 6-4,3,11.0,23.0,71.0,ATP,7.0,2.0,39.0,32.0,7.0,2.0,3.0,Unknown
20240101,United Cup,A,Hard,RR,Casper Ruud,Borna Coric,6-4 6-1,3,11.0,37.0,89.0,ATP,7.0,2.0,32.0,28.0,10.0,3.0,3.0,Unknown
20240101,United Cup,A,Hard,RR,Borna Coric,Tallon Griekspoor,7-6(4) 6-4,3,37.0,23.0,120.0,ATP,3.0,2.0,39.0,30.0,16.0,2.0,3.0,Unknown
20240101,United Cup,A,Hard,RR,Novak Djokovic,Zhizhen Zhang,6-3 6-2,3,1.0,58.0,72.0,ATP,7.0,1.0,28.0,24.0,12.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,RR,Novak Djokovic,Jiri Lehecka,6-1 6-7(3) 6-1,3,1.0,31.0,136.0,ATP,3.0,2.0,49.0,36.0,19.0,3.0,5.0,Unknown
20240101,United Cup,A,Hard,RR,Zhizhen Zhang,Jiri Lehecka,5-7 6-3 6-4,3,58.0,31.0,140.0,ATP,5.0,3.0,59.0,42.0,19.0,7.0,10.0,Unknown
20240101,United Cup,A,Hard,RR,Alexander Zverev,Lorenzo Sonego,6-7(5) 6-3 6-4,3,7.0,46.0,172.0,ATP,7.0,1.0,64.0,52.0,17.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,RR,Alexander Zverev,Adrian Mannarino,4-6 6-4 6-3,3,7.0,22.0,145.0,ATP,11.0,1.0,67.0,47.0,16.0,4.0,5.0,Unknown
20240101,United Cup,A,Hard,RR,Adrian Mannarino,Lorenzo Sonego,6-4 6-4,3,22.0,46.0,109.0,ATP,2.0,1.0,44.0,32.0,13.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,RR,Cameron Norrie,Alex de Minaur,6-4 2-6 7-6(2),3,18.0,12.0,140.0,ATP,7.0,1.0,57.0,51.0,12.0,1.0,3.0,Unknown
20240101,United Cup,A,Hard,RR,Alex de Minaur,Taylor Fritz,6-4 6-2,3,12.0,10.0,89.0,ATP,3.0,3.0,36.0,28.0,12.0,3.0,3.0,Unknown
20240101,United Cup,A,Hard,RR,Taylor Fritz,Cameron Norrie,7-6(5) 6-4,3,10.0,18.0,105.0,ATP,14.0,0.0,43.0,33.0,15.0,1.0,2.0,Unknown
20240101,United Cup,A,Hard,RR,Nicolas Jarry,Steven Diez,7-5 6-4,3,19.0,314.0,118.0,ATP,6.0,0.0,36.0,31.0,14.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,RR,Nicolas Jarry,Stefanos Sakellaridis,6-3 3-6 7-5,3,19.0,416.0,142.0,ATP,8.0,0.0,49.0,41.0,17.0,0.0,1.0,Unknown
20240101,United Cup,A,Hard,RR,Stefanos Tsitsipas,Steven Diez,6-2 6-3,3,6.0,314.0,77.0,ATP,6.0,2.0,31.0,28.0,9.0,1.0,1.0,Unknown
20240101,United Cup,A,Hard,RR,Alejandro Davidovich Fokina,Thiago Seyboth Wild,6-4 6-0,3,26.0,79.0,88.0,ATP,4.0,2.0,38.0,30.0,8.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,RR,Hubert Hurkacz,Thiago Seyboth Wild,6-7(4) 6-2 6-3,3,9.0,79.0,141.0,ATP,10.0,3.0,52.0,39.0,19.0,1.0,2.0,Unknown
20240101,United Cup,A,Hard,RR,Alejandro Davidovich Fokina,Hubert Hurkacz,3-6 6-3 6-4,3,26.0,9.0,121.0,ATP,1.0,2.0,49.0,30.0,25.0,3.0,5.0,Unknown
20240101,United Cup,A,Hard,QF,Alexander Zverev,Stefanos Tsitsipas,6-4 6-4,3,7.0,6.0,96.0,ATP,5.0,0.0,45.0,34.0,8.0,2.0,2.0,Unknown
20240101,United Cup,A,Hard,QF,Alex de Minaur,Novak Djokovic,6-4 6-4,3,12.0,1.0,93.0,ATP,7.0,2.0,34.0,33.0,8.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,QF,Casper Ruud,Adrian Mannarino,6-1 6-4,3,11.0,22.0,76.0,ATP,10.0,1.0,33.0,29.0,9.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,QF,Hubert Hurkacz,Zhizhen Zhang,6-3 6-4,3,9.0,58.0,82.0,ATP,10.0,0.0,48.0,36.0,9.0,1.0,1.0,Unknown
20240101,United Cup,A,Hard,SF,Alex de Minaur,Alexander Zverev,5-7 6-3 6-4,3,12.0,7.0,160.0,ATP,4.0,2.0,62.0,43.0,24.0,3.0,4.0,Unknown
20240101,United Cup,A,Hard,SF,Hubert Hurkacz,Adrian Mannarino,6-3 7-5,3,9.0,22.0,101.0,ATP,15.0,0.0,36.0,31.0,14.0,0.0,0.0,Unknown
20240101,United Cup,A,Hard,F,Alexander Zverev,Hubert Hurkacz,6-7(3) 7-6(6) 6-4,3,7.0,9.0,179.0,ATP,8.0,1.0,72.0,62.0,14.0,0.0,0.0,Unknown
20240101,Hong Kong,250,Hard,R32,Emil Ruusuvuori,Benjamin Bonzi,6-7(5) 6-2 6-1,3,69.0,73.0,157.0,ATP,5.0,4.0,51.0,33.0,25.0,4.0,7.0,Unknown
20240101,Hong Kong,250,Hard,R32,Pavel Kotov,Nuno Borges,6-2 6-4,3,67.0,66.0,88.0,ATP,4.0,2.0,45.0,33.0,6.0,2.0,3.0,Unknown
20240101,Hong Kong,250,Hard,R32,Lorenzo Musetti,Coleman Wong,6-4 7-5,3,27.0,253.0,106.0,ATP,4.0,2.0,42.0,32.0,13.0,2.0,3.0,Unknown
20240101,Hong Kong,250,Hard,R32,Roberto Bautista Agut,Fabian Marozsan,6-2 6-3,3,57.0,64.0,68.0,ATP,3.0,0.0,38.0,27.0,12.0,5.0,6.0,Unknown
20240101,Hong Kong,250,Hard,R32,Sebastian Ofner,Mackenzie McDonald,6-1 6-2,3,43.0,41.0,61.0,ATP,6.0,2.0,27.0,20.0,8.0,0.0,1.0,Unknown
20240101,Hong Kong,250,Hard,R32,Jan-Lennard Struff,Marin Cilic,3-6 7-6(4) 7-6(7),3,25.0,674.0,186.0,ATP,11.0,4.0,69.0,49.0,26.0,6.0,10.0,Unknown
20240101,Hong Kong,250,Hard,R32,Juncheng Shang,Laslo Djere,6-7(5) 6-3 7-6(8),3,183.0,33.0,171.0,ATP,4.0,0.0,64.0,52.0,19.0,0.0,2.0,Unknown
20240101,Hong Kong,250,Hard,R32,Botic van de Zandschulp,Shintaro Mochizuki,7-5 6-1,3,50.0,137.0,97.0,ATP,3.0,3.0,42.0,30.0,14.0,10.0,12.0,Unknown
20240101,Hong Kong,250,Hard,R32,Miomir Kecmanovic,Taro Daniel,6-3 6-2,3,54.0,75.0,70.0,ATP,5.0,1.0,32.0,25.0,10.0,1.0,2.0,Unknown
20240101,Hong Kong,250,Hard,R32,Arthur Fils,Borna Gojo,6-3 4-6 6-1,3,36.0,72.0,108.0,ATP,2.0,2.0,48.0,38.0,16.0,7.0,8.0,Unknown
20240101,Hong Kong,250,Hard,R32,Marc-Andrea Huesler,Vitaliy Sachko,6-4 6-4,3,194.0,169.0,86.0,ATP,10.0,1.0,39.0,28.0,15.0,4.0,4.0,Unknown
20240101,Hong Kong,250,Hard,R32,Liam Broady,Pedro Cachin,6-4 6-0,3,108.0,70.0,69.0,ATP,2.0,2.0,29.0,21.0,11.0,2.0,3.0,Unknown
20240101,Hong Kong,250,Hard,R16,Emil Ruusuvuori,Karen Khachanov,7-6(2) 2-6 6-2,3,69.0,15.0,145.0,ATP,5.0,3.0,58.0,41.0,20.0,5.0,8.0,Unknown
20240101,Hong Kong,250,Hard,R16,Pavel Kotov,Lorenzo Musetti,6-4 6-3,3,67.0,27.0,101.0,ATP,2.0,4.0,48.0,38.0,8.0,4.0,4.0,Unknown
20240101,Hong Kong,250,Hard,R16,Roberto Bautista Agut,Francisco Cerundolo,7-5 6-3,3,57.0,21.0,99.0,ATP,2.0,0.0,47.0,38.0,9.0,4.0,4.0,Unknown
20240101,Hong Kong,250,Hard,R16,Sebastian Ofner,Jan-Lennard Struff,6-7(4) 7-6(5) 7-6(2),3,43.0,25.0,167.0,ATP,16.0,1.0,70.0,55.0,29.0,4.0,6.0,Unknown
20240101,Hong Kong,250,Hard,R16,Juncheng Shang,Botic van de Zandschulp,6-7(5) 7-6(2) 7-6(2),3,183.0,50.0,212.0,ATP,2.0,6.0,70.0,51.0,31.0,5.0,8.0,Unknown
20240101,Hong Kong,250,Hard,R16,Frances Tiafoe,Miomir Kecmanovic,6-3 7-6(4),3,16.0,54.0,92.0,ATP,8.0,1.0,42.0,37.0,14.0,3.0,3.0,Unknown
20240101,Hong Kong,250,Hard,R16,Arthur Fils,Marc-Andrea Huesler,7-5 7-5,3,36.0,194.0,120.0,ATP,3.0,5.0,51.0,38.0,11.0,5.0,7.0,Unknown
20240101,Hong Kong,250,Hard,R16,Andrey Rublev,Liam Broady,6-4 7-6(8),3,5.0,108.0,110.0,ATP,10.0,3.0,38.0,31.0,18.0,1.0,3.0,Unknown
20240101,Hong Kong,250,Hard,QF,Emil Ruusuvuori,Pavel Kotov,6-3 7-6(4),3,69.0,67.0,108.0,ATP,5.0,0.0,44.0,33.0,19.0,5.0,6.0,Unknown
20240101,Hong Kong,250,Hard,QF,Sebastian Ofner,Roberto Bautista Agut,6-4 6-4,3,43.0,57.0,84.0,ATP,21.0,0.0,43.0,35.0,7.0,0.0,0.0,Unknown
20240101,Hong Kong,250,Hard,QF,Juncheng Shang,Frances Tiafoe,6-4 6-4,3,183.0,16.0,89.0,ATP,3.0,1.0,25.0,19.0,23.0,1.0,1.0,Unknown
20240101,Hong Kong,250,Hard,QF,Andrey Rublev,Arthur Fils,6-4 1-6 6-2,3,5.0,36.0,112.0,ATP,8.0,0.0,41.0,31.0,15.0,4.0,6.0,Unknown
20240101,Hong Kong,250,Hard,SF,Emil Ruusuvuori,Sebastian Ofner,4-6 7-5 6-3,3,69.0,43.0,132.0,ATP,9.0,1.0,60.0,48.0,16.0,2.0,4.0,Unknown
20240101,Hong Kong,250,Hard,SF,Andrey Rublev,Juncheng Shang,4-6 6-2 6-3,3,5.0,183.0,129.0,ATP,12.0,1.0,55.0,38.0,29.0,13.0,14.0,Unknown
20240101,Hong Kong,250,Hard,F,Andrey Rublev,Emil Ruusuvuori,6-4 6-4,3,5.0,69.0,77.0,ATP,5.0,0.0,40.0,29.0,14.0,1.0,1.0,Unknown
20240108,Adelaide,250,Hard,R32,Matteo Arnaldi,Bernabe Zapata Miralles,6-4 6-3,3,41.0,77.0,101.0,ATP,1.0,4.0,26.0,17.0,22.0,0.0,2.0,Unknown
20240108,Adelaide,250,Hard,R32,Dusan Lajovic,Thanasi Kokkinakis,3-6 6-1 6-4,3,52.0,68.0,131.0,ATP,3.0,0.0,62.0,41.0,14.0,4.0,6.0,Unknown
20240108,Adelaide,250,Hard,R32,Jiri Lehecka,Adam Walton,6-1 6-3,3,32.0,176.0,70.0,ATP,9.0,3.0,25.0,21.0,14.0,4.0,4.0,Unknown
20240108,Adelaide,250,Hard,R32,Lorenzo Sonego,Yannick Hanfmann,7-5 2-6 7-6(9),3,46.0,49.0,172.0,ATP,14.0,2.0,76.0,64.0,8.0,2.0,4.0,Unknown
20240108,Adelaide,250,Hard,R32,Christopher O'Connell,Arthur Rinderknech,6-4 6-4,3,71.0,97.0,87.0,ATP,9.0,2.0,31.0,29.0,10.0,0.0,1.0,Unknown
20240108,Adelaide,250,Hard,R32,Alexander Shevchenko,Tomas Martin Etcheverry,7-6(4) 4-6 7-5,3,48.0,30.0,176.0,ATP,5.0,4.0,72.0,50.0,19.0,9.0,14.0,Unknown
20240108,Adelaide,250,Hard,R32,Alexander Bublik,James McCabe,6-2 6-3,3,31.0,278.0,77.0,ATP,2.0,5.0,29.0,25.0,8.0,2.0,3.0,Unknown
20240108,Adelaide,250,Hard,R32,Daniel Evans,Rinky Hijikata,6-3 6-4,3,40.0,70.0,98.0,ATP,5.0,2.0,36.0,31.0,12.0,2.0,2.0,Unknown
