created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,C. Swaine,P. Sallay,0.504,P. Sallay,c swaine,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,C. Underwood,B. Anderson,0.504,C. Underwood,c underwood,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,D. Budko,K. Teso,0.504,D. Budko,d budko,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,D. Duong,C. Chinlund,0.504,D. Duong,d duong,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,D. Fishback,G. Avram,0.504,D. Fishback,d fishback,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Men 01,Unknown,D. Hedgecoe,C. Baierl,0.504,C. Baierl,d hedgecoe,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,D. Knesl,V. Vales,0.504,D. Knesl,d knesl,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,D. Kos,H. Best,0.504,D. Kos,d kos,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,D. Krasner,C. Robinson,0.504,C. Robinson,d krasner,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,D. Pop,R. Kis Balazs,0.504,R. Kis Balazs,d pop,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
